Author,Quote
Antonio Guterres,"A refugee in the traditional vision is someone who flees from country to another because of persecution or conflict. But what we're witnessing now more and more is a certain number of mega-trends interacting with one another: population growth, urbanization, food insecurity, water scarcity, climate change, and conflict."
Kevin Richardson,"We can have technology, prosperity, nice homes and cars, but at the same time we must be conscious of what we are dumping into the water, the air and our food."
Clive Cussler,"When I first started writing, I was in advertising at the time, I was doing most of my writing on weekends. I had studied most of the other series heroes and I figured it would be fun for mine to be different and put him in and around water. So I dreamed up Dirk Pitt."
S. Jay Olshansky,"We have grown accustomed to the wonders of clean water, indoor plumbing, laser surgery, genetic engineering, artificial joints, replacement body parts, and the much longer lives that accompany them. Yet we should remember that the vast majority of humans ever born died before the age of 10 from an infectious disease."
Will Ferrell,"I left 'Saturday Night Live' without a film to go to, and I'd filmed 'Old School' while I was in my last season of the show, and that hadn't come out yet. I was a free agent, in a way, but I knew it was time to leave the show and test the water."
Liam Neeson,I came to water late. I learned to swim at the age of 20.
Paramahansa Yogananda,"A true yogi may remain dutifully in the world; there, he is like butter on water and not like the easily-diluted milk of unchurned and undisciplined humanity."
Max Heindel,"In all religions, the quickening spirit has been symbolically represented as a bird. At the baptism, when Jesus' body was in the water, the Spirit of Christ descended into it as a dove."
William Kamkwamba,"Clean water and power is our right as humans on this earth, and for too long, our governments in Africa have failed to provide these things."
Evonne Goolagong Cawley,I love to fish. I love the peacefulness of being around the water.
Wil S. Hylton,"The park lies directly downwind from a slew of coal plants. Virtually all of the major contaminants in the local air and water are direct results of coal emissions. Coal produces ozone, which kills trees. Coal produces sulfates, which kill fish. No other park in the country has more ozone or sulfates than Shenandoah National Park."
Tomas Transtromer,"A ship's engine far away on the water expands the summer-night horizon. Both joy and sorrow swell in the dew's magnifying glass. Without really knowing, we divine; our life has a sister ship, following quietly another route. While the sun blazes behind the islands."
Jim Costa,"Additionally, Smart Irrigation Month serves to recognize advances in irrigation technology and practices that produce not only more but also higher quality plants with less water."
Corey Feldman,"It was a great experience for a kid, because it was a bunch of kids playing on pirate ships and water slides, so looking back on it, it was the fondest experience of my childhood."
Valentina Zelyaeva,"Diseases happen in acidic environments, so it's very important to keep your body alkaline. Keeping a diet high in leafy greens, spring water, fresh air, raw almonds, lemons, grapefruits, and warm water with juice from half a lemon helps lower acidity levels."
Alice Walker,"War contributes greatly to global warming, which shouldn't surprise us. All those bombs going off, all those rockets, all those planes and helicopters. All that fuel of various kinds being used. It pollutes the air and water of this very fragile and interconnected planet."
Bruce Forsyth,"I do lead a careful diet, I don't overeat, I have fruit and vegetables every day and I drink a lot of water. And my darling wife keeps me so young it is ridiculous. Being with her is an inspiration as well."
